topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Allgemeine Ethik · Diskurs · Allgemeine,0.0,1.0,0.0,0.0,0.0,0.0,40,0.0316
Antike · Etc · Erfahrung,0.0,0.9545,0.0,0.0,0.0455,0.2668,22,0.0174
Argumentieren Glück · Glück Bio · Bio,0.0,1.0,0.0,0.0,0.0,0.0,16,0.0127
Aussagen · Sachverhalte · Deskriptive,0.4,0.3333,0.2,0.0,0.0667,1.7819,15,0.0119
Begriff Guten · Ethik Voneinander · Gewissen Vernunft,0.0,0.9355,0.0323,0.0,0.0323,0.4096,31,0.0245
Dimension · Guten Lebens · Moralvorstellungen,0.0,0.9592,0.0408,0.0,0.0,0.246,49,0.0388
Einordnen · Wertvorstellungen Historischen · Zusammenhängen Einordnen,0.0,1.0,0.0,0.0,0.0,0.0,20,0.0158
Entscheidung · Entscheidungen · Pflicht,0.0244,0.9268,0.0244,0.0,0.0244,0.4936,41,0.0324
Fortschritt · Stehen · Mittelpunkt,0.1351,0.8649,0.0,0.0,0.0,0.5714,37,0.0293
Fragen Ethik · Kommunikation · Chancen,0.1111,0.8889,0.0,0.0,0.0,0.5033,18,0.0142
Interpretieren Argumentieren · Interpretieren · Wahrnehmen Hineinversetzen,0.0,1.0,0.0,0.0,0.0,0.0,32,0.0253
Kein Thema (Ausreißer),0.0111,0.9667,0.0056,0.0,0.0167,0.2595,180,0.1424
Medial Vermittelten · Vermittelten Welt · Vermittelten,0.025,0.95,0.025,0.0,0.0,0.3364,80,0.0633
Menschenwürde Menschenrechte · Normen Menschenwürde · Werten Normen,0.0,1.0,0.0,0.0,0.0,0.0,28,0.0222
Pflichten · Status · Schuld,0.0,1.0,0.0,0.0,0.0,0.0,17,0.0134
Phänomenologische · Religiösen · Analytische,0.0,0.8706,0.1294,0.0,0.0,0.5558,85,0.0672
Recherchieren · Perspektive · Religiöser,0.0,1.0,0.0,0.0,0.0,0.0,35,0.0277
Regel · Goldene Regel · Goldene,0.0,1.0,0.0,0.0,0.0,0.0,39,0.0309
Religionen Weltanschauungen · Weltanschauungen · Religionen,0.0,1.0,0.0,0.0,0.0,0.0,36,0.0285
Staat · Historischer · Bundesrepublik,0.119,0.2857,0.0,0.1667,0.4286,1.8366,42,0.0332
Stunden · Frage · Lust,0.0317,0.9524,0.0,0.0,0.0159,0.3199,63,0.0498
Themenbereich · Urteilsbildung · Ethisch Urteilsbildung,0.0,0.963,0.037,0.0,0.0,0.2285,27,0.0214
Verhältnisses · Pflichten · Verhältnisses Glück,0.0,0.98,0.0,0.0,0.02,0.1414,50,0.0396
Vernunft · Perspektive · Vorstellungen,0.0,1.0,0.0,0.0,0.0,0.0,125,0.0989
Wertvorstellungen · Schuljahrgang · Wirklichkeit,0.0,0.987,0.013,0.0,0.0,0.1,77,0.0609
Zusammenhängen · Leistungskurs · Historischen,0.0,0.8814,0.1186,0.0,0.0,0.5255,59,0.0467
